,Date,Symbol,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue,Enterprise Value/EBITDA,Beta (5Y Monthly),52-Week Change,S&P500 52-Week Change,52 Week High,52 Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Avg Vol (10 day),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Short % of Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Dividend Date,Ex-Dividend Date,Last Split Factor,Last Split Date,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm)
43,20200520,CNDT,470.4M,2.1B,,4.79,-0.27,0.11,0.39,0.48,4.53,1.65,-75.39%,3.13%,9.9300,1.5400,2.1450,4.2803,2.46M,4.75M,209.07M,199.87M,6.22%,88.92%,5.32M,1.87,2.14%,1.75%,,,,,,0.00%,,,,,"Dec 30, 2019","Mar 30, 2020",-38.42%,0.05%,0.02%,-75.60%,4.36B,20.75,-9.20%,973M,463M,-1.68B,-8.0220,,395M,1.89,1.88B,138.03,1.54,5.84,-11M,105.38M
44,20200520,HTBX,55.88M,28.75M,,-1.83,,18.33,1.64,9.43,-1.50,-0.09,-28.57%,3.13%,1.2500,0.2000,0.5651,0.4757,14.93M,7.7M,82.7M,70.61M,6.04%,13.56%,1.17M,0.24,1.66%,1.56%,,,,,,0.00%,,,1:10,"Jan 21, 2018","Dec 30, 2019","Dec 30, 2019",0.00%,-636.10%,-38.05%,-93.94%,3.05M,0.09,-2.90%,-9.96M,-19.16M,-20.02M,-0.6010,,14.75M,0.19,1.93M,14.65,1.80,0.40,-12.84M,-5.05M
45,20200520,JT,123.59M,157.24M,,-9.14,,,0.50,,,1.21,-85.94%,3.13%,5.0580,0.6000,0.8160,1.2889,126.06k,135.82k,169.07M,93.39M,4.25%,46.00%,1.85M,12.23,,1.10%,,,,,,0.00%,,,,,"Dec 30, 2019","Dec 30, 2019",-22.34%,0.00%,-6.21%,-29.52%,,,-61.00%,1.5B,,,-0.2900,,,,,6.85,2.92,1.47,,
46,20200520,SGLB,6.05M,2.76M,,-0.74,,15.03,4.25,6.86,-0.50,0.99,72.87%,3.13%,7.0000,0.4511,2.4082,1.7917,325.71k,634.25k,2.56M,995.72k,13.74%,2.58%,72.38k,0.34,7.26%,6.46%,,,,,,0.00%,,,1:2,"Feb 14, 2017","Dec 30, 2019","Dec 30, 2019",0.00%,"-1,416.24%",-172.81%,-529.45%,402.45k,0.34,130.40%,-171.85k,-5.51M,-6.32M,-5.3740,,86.92k,0.07,50k,7.67,0.90,0.56,-5.51M,-2.8M
47,20200520,NGD,740.28M,1.07B,,9.91,-1.84,1.22,0.78,1.77,5.53,2.10,53.73%,3.13%,1.5600,0.3900,0.7826,0.8213,6.39M,3.76M,676M,581.86M,0.19%,57.55%,13.46M,1.22,,1.50%,,,,,,0.00%,,,,,"Dec 30, 2019","Mar 30, 2020",-14.61%,-4.86%,-0.79%,-9.46%,605M,0.95,-15.20%,258.7M,193.2M,-88.4M,-0.1400,,400.4M,0.59,779.6M,83.04,3.06,1.39,240.5M,1.4M
48,20200520,HYRE,39.64M,19.81M,,-20.83,,2.50,5.50,1.25,-1.56,,-47.90%,3.13%,4.9500,0.8800,1.5661,2.3879,214.93k,118.47k,17.3M,11.59M,31.73%,33.86%,1.29M,5.22,6.70%,6.21%,,,,,,0.00%,,,,,"Dec 30, 2019","Dec 30, 2019",-78.96%,-80.04%,-84.48%,-205.41%,15.85M,1.14,55.70%,6.01M,-12.69M,-12.52M,-0.8970,,10.66M,0.65,,,2.45,0.42,-8.11M,-3.53M
49,20200520,TNXP,41.32M,24.43M,,-1.25,,,0.72,,-0.85,1.18,-95.73%,3.13%,24.9000,0.3900,0.7149,1.1224,10.46M,5.05M,49.35M,49.33M,0.05%,7.00%,1.88M,0.17,0.80%,0.80%,,,,,,0.00%,,,1:10,"Oct 31, 2019","Dec 30, 2019","Dec 30, 2019",0.00%,0.00%,-88.16%,-173.02%,,,,,-28.8M,-31.09M,-19.3290,,11.25M,0.23,358k,3.80,2.72,1.10,-26.68M,-16.1M
50,20200520,RESN,117.1M,109.82M,,-8.88,,102.27,2.49,95.91,-3.68,,-20.00%,3.13%,3.5800,0.9510,1.9797,2.0103,783.93k,993.6k,52.75M,41.7M,13.29%,18.99%,3.55M,3.78,7.75%,7.21%,,,,,,0.00%,,,,,"Dec 30, 2019","Mar 30, 2020",0.00%,"-2,692.93%",-64.41%,-131.75%,1.15M,0.04,306.00%,735k,-29.86M,-30.8M,-0.9290,,29.59M,0.56,2.52M,8.54,5.54,0.89,,
51,20200520,IMMP,39M,39.66M,,,,,1.35,,,1.02,-44.04%,3.13%,3.1000,0.5300,0.9320,1.7146,565.01k,330.27k,38.88M,35.76M,0.00%,1.81%,356.14k,0.41,,0.86%,,,,,,0.00%,,,1:10,"Nov 06, 2019","Jun 29, 2019","Dec 30, 2019",-120.55%,0.00%,-22.01%,-50.73%,,,320.70%,-10.95M,,,-0.4000,,,,,30.27,6.77,0.8,,
52,20200520,ARLO,176.59M,-25.14M,,-3.68,0.14,0.48,0.85,-0.07,0.20,,-44.53%,3.13%,5.1300,1.2000,2.3426,3.2008,1.04M,1.38M,77.45M,73.98M,3.29%,77.02%,2.68M,4.16,5.52%,4.05%,,,,,,0.00%,,,,,"Dec 30, 2019","Dec 30, 2019",-23.23%,-37.18%,-15.10%,-36.35%,370.01M,4.93,0.20%,35.87M,-126.88M,-85.95M,-1.1450,,256.67M,3.35,32.91M,16.18,1.60,2.68,9.17M,52.12M
53,20200520,GSAT,499.6M,890.38M,,-4.99,-0.36,3.73,1.01,6.65,26.23,,-44.64%,3.13%,0.6300,0.2300,0.3046,0.3981,1.36M,771.65k,1.67B,508.31M,63.59%,21.68%,30.07M,24.48,5.10%,1.70%,,,,,,0.00%,,,,,"Dec 30, 2019","Mar 30, 2020",-36.37%,-46.21%,-3.90%,-11.06%,133.83M,0.09,7.00%,78.08M,33.94M,-48.67M,-0.0740,,10.46M,0.01,370.37M,74.80,1.05,0.30,6.33M,84.72M
54,20200520,AKRX,36.92M,754.27M,,1.46,0.08,0.05,0.15,1.11,78.82,1.14,-93.62%,3.13%,5.4600,0.1800,0.2654,1.6371,10.84M,18.48M,133.15M,104.37M,8.14%,75.93%,8.37M,0.67,9.29%,8.08%,,,,,,0.00%,,"May 23, 1991",,,"Dec 30, 2019","Dec 30, 2019",-33.23%,-8.90%,-2.73%,-66.88%,682.43M,5.42,5.80%,252.71M,9.57M,-226.77M,-1.8000,,144.8M,1.15,867.69M,370.35,0.49,1.86,-36.92M,-13.47M
