,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,CallPut,Symbol
133,NOK220121C00010000,2020-05-15 3:52PM EDT,10.0,0.08,0.08,0.09,0.0,-,367,35876,50.98%,call,NOK
134,NOK220121P00001000,2020-05-11 12:38PM EDT,1.0,0.06,0.02,0.09,0.0,-,4,76,67.97%,put,NOK
135,NOK220121P00002000,2020-05-14 12:47PM EDT,2.0,0.14,0.11,0.17,0.0,-,208,737,48.44%,put,NOK
136,NOK220121P00003000,2020-05-15 11:48AM EDT,3.0,0.46,0.36,0.49,0.01,+2.22%,1,5354,41.99%,put,NOK
137,NOK220121P00004000,2020-05-15 12:08PM EDT,4.0,1.07,1.0,1.12,0.12,+12.63%,5,28096,42.97%,put,NOK
138,NOK220121P00005000,2020-05-04 2:42PM EDT,5.0,1.75,1.71,1.88,0.0,-,20,7326,42.19%,put,NOK
139,NOK220121P00007000,2020-05-15 9:52AM EDT,7.0,3.62,3.55,3.7,0.09,+2.55%,40,274,44.92%,put,NOK
140,NOK220121P00010000,2020-05-07 10:40AM EDT,10.0,6.45,6.4,6.7,0.0,-,1,22,58.20%,put,NOK
141,TCS200619C00002500,2020-05-14 11:46AM EDT,2.5,0.12,0.05,0.35,-0.03,-20.00%,11,0,145.31%,call,TCS
142,TCS200619C00005000,2020-05-12 3:55PM EDT,5.0,0.1,-,-,0.0,-,-,-,0.00%,call,TCS
143,TCS200619P00002500,2020-05-15 3:26PM EDT,2.5,0.6,0.55,0.65,0.0,-,10,15,110.16%,put,TCS
144,TCS200717C00002500,2020-05-15 10:19AM EDT,2.5,0.2,0.15,0.25,0.02,+11.11%,10,261,107.42%,call,TCS
145,TCS200717C00005000,2020-05-13 10:46AM EDT,5.0,0.01,0.0,0.05,0.0,-,10,385,125.00%,call,TCS
146,TCS200717C00007500,2020-01-28 2:21PM EDT,7.5,0.1,0.0,0.0,0.0,-,20,0,50.00%,call,TCS
147,TCS200717P00002500,2020-05-13 1:50PM EDT,2.5,0.65,0.6,0.7,0.0,-,14,31,98.05%,put,TCS
148,TCS200717P00005000,2020-04-06 3:22PM EDT,5.0,2.6,2.9,3.2,0.0,-,9,24,155.47%,put,TCS
149,TCS200717P00007500,2020-05-13 11:12AM EDT,7.5,5.4,5.4,5.6,0.0,-,2,5,159.38%,put,TCS
150,TCS201016C00002500,2020-05-13 2:32PM EDT,2.5,0.35,0.30,0.4,0.0,-,137,202,97.27%,call,TCS
151,TCS201016C00005000,2020-05-13 12:05PM EDT,5.0,0.1,0.05,0.15,0.0,-,136,182,108.59%,call,TCS
